NAME,Compañía telefónica,Tecnología,Memoria Interna,A prueba de agua,Cámara frontal,Cámara trasera,Procesador,Resistencia máxima sumergible,Gama de color,Marca
Apple - iPhone SE 128 GB - Negro (Telcel),TELCEL,4G LTE,128 GB,Sí,7 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 feet,Negro,Apple
Apple - iPhone 11 Pro - 64 GB - Dorado (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Dorado,Apple
Apple - iPhone 11 Pro - 256 GB - Gris Espacial (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Gris,Apple
Apple - iPhone 11 Pro Max - 64 GB - Dorado (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Dorado,Apple
Apple - iPhone 11 Pro Max - 256 GB - Verde Medianoche (Telcel),TELCEL,4G LTE,256 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,5 Metros,Verde,Apple
Apple - iPhone 11 Pro - 64 GB - Plata (Telcel),TELCEL,4G LTE,64 GB,Sí,12 megapixels,12 megapixels,Chip biónico A13 con motor neuronal de tercera generación,4 Metros,Plata,Apple
Samsung - Galaxy Note 10 Lite 1- 28 GB - Plata (Telcel),TELCEL,"2G, 3G, 4G, 4G LTE, GSM, LTE, WCDMA (UMTS)",128 GB,No,32 megapixels,32 megapixels,Octa-Core,,Plata,Samsung
Apple - iPhone 8 64 GB - Gris Espacial (AT&T),AT&T,4G,64 GB,Sí,12 megapixels,7 megapixels,Chip A11 Bionic con arquitectura de 64 bits,0 feet,Space Gray,Apple
Apple - iPhone XS - 64 GB - Gris (AT&T),AT&T,4G LTE,64 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Space Gray,Apple
Motorola - Moto One Hyper - Azul (AT&T),AT&T,4G,128 GB,No,32 megapixels,,,,Azul,Motorola
Huawei - Y8S - Verde (Telcel),TELCEL,4G,64 GB,No,,,"HiSilicon, Kirin 710, Octa core: 4 x 2.2GHz + 4 x 1.7GHz",,Verde,Huawei
Motorola - Moto G8 Plus - Azul (AT&T),AT&T,4G LTE,64 GB,No,25 megapixels,48 megapixels,,,Azul,Motorola
Samsung - Galaxy A9 - Negro (Telcel),TELCEL,4G LTE,128 GB,No,24 megapixels,24 megapixels,Snapdragon 660,,Negro,Samsung
Apple - iPhone XS Max - 256 GB Reacondicionado - Gris Espacial (Desbloqueado),Desbloqueado,4G LTE,256 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Gris,Apple
Samsung - Galaxy A31 - Negro,Movistar,"2G, 3G, LTE",128 GB,No,20 megapixels,48 megapixels,MT6768  Octa-Core,,Negro,Samsung
Samsung - Galaxy Note 10 Plus  [Último modelo] - Blanco (Desbloqueado),Desbloqueado,4G,256 GB,Sí,10 megapixels,16 megapixels,,5 feet,Blanco,Samsung
Honor - Honor View 20 128 GB - Azul (Desbloqueado),Desbloqueado,4G LTE,128 GB,No,25 megapixels,48 megapixels,Kirin 980,,Azul,Honor
Huawei - Honor 9 - Azul (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,8 megapixels,20 megapixels,,,Azul,Honor
Samsung - Galaxy A60 128GB - Desbloqueado -Negro,,4G,128 GB,No,32 megapixels,16 megapixels,2Ghz Octa-Core,,Negro,Samsung
Motorola - Moto G8 - Azul (Desbloqueado),Desbloqueado,4G,64 GB,No,,,Qualcomm Snapdragon 665,,Azul,Motorola
Apple - iPhone X 256 GB Reaconcionado - Gris Espacial - (Desbloqueado),Desbloqueado,4G,256 GB,Sí,7 megapixels,,A12 Bionic chip con arquitectura de 64 bits,5 feet,Space Gray,Apple
Samsung - Galaxy A11 - Negro,Movistar,"2G, 3G, LTE",48 GB,No,8 megapixels,13 megapixels,"SDM450, Octa-core (8 núcleos a 1.8 GHz)",,Negro,Samsung
Samsung - Galaxy Note 20 Mystic 4G - Gris,Movistar,"4G, GSM",256 GB,Sí,,,Exynos 990,4.9 feet,Gris,Samsung
Honor - Honor 8X - Azul (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,16 megapixels,20 megapixels,Kirin 710,,Azul,Honor
Samsung - Galaxy Note 10 Lite - 128 GB - Plata,,"2G, 3G, 4G, 4G LTE, GSM, LTE, WCDMA (UMTS)",128 GB,No,32 megapixels,12 megapixels,Octa-Core,,Plata,Samsung
Apple - iPhone XS - 512 GB Reacondicionado - Plata (Desbloqueado) [Online],Desbloqueado,4G LTE,512 GB,Sí,7 megapixels,12 megapixels,A12 Chip bionico con motor neuronal de próxima generación,5 feet,Plata,Apple
Honor - Honor 9A - Verde (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,8 megapixels,13 megapixels,,,Verde,Honor
Samsung - Galaxy Note 20 Ultra 4G - Bronce,Movistar,"4G, GSM",256 GB,Sí,,,Exynos 990,4.92 feet,Bronce,Samsung
Motorola - Moto G7 - Negro (Desbloqueado),Desbloqueado,4G LTE,64 GB,No,12 megapixels,8 megapixels,632,,Negro,Motorola
