"NAME","Compañía telefónica","Tecnología","null","Memoria Interna","A prueba de agua","Clasificación Procesador","Cámara frontal","Cámara trasera","Procesador","Tipo de monitor","Resistencia máxima sumergible","Pantalla Touch","Cámaras Integradas","Internet / Multimedia","Garantía del fabricante - Partes","Garantía del fabricante - Mano de Obra","Modelo","Color de Producto","Gama de color","Nombre del Producto","Marca","EAN/UPC","Wireless Charging","Tipo de pantalla","Interfaz","Carga inalámbrica","Modelo de celular","Tarjeta de expansión","Phone Memory (RAM)","Ranura de la tarjeta multimedia","Alto Producto","Ancho Producto","Profundidad Producto","Peso Producto","A prueba de golpes","Salida de auriculares","Tipo de Batería","Usage Time(s)","Sincronización"
"Apple - iPhone SE 128 GB - Negro (Telcel)","TELCEL","4G LTE","Sí","128 GB","Sí","Apple","7 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de huellas dactilares","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone SE","Negro","Negro","Apple - iPhone SE 128 GB - Negro (Telcel)","Apple","7506227337705","","","","","","","","","","","","","","","","",""
"Apple - iPhone 11 Pro - 64 GB - Dorado (Telcel)","TELCEL","4G LTE","Sí","64 GB","Sí","Apple","12 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Face ID, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de humedad","4 Metros","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone 11 Pro","Dorado","Dorado","Apple - iPhone 11 Pro - 64 GB - Dorado (Telcel)","Apple","7506227335428","Sí","OLED","Lightning","Qi","Apple iPhone 11 Pro","Nano SIM","","","","","","","","","","",""
"Apple - iPhone 11 Pro - 256 GB - Gris Espacial (Telcel)","TELCEL","4G LTE","Sí","256 GB","Sí","Apple","12 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Face ID, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de humedad","4 Metros","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone 11 Pro","Gris","Gris","Apple - iPhone 11 Pro - 256 GB - Gris Espacial (Telcel)","Apple","7506227335442","Sí","OLED","Lightning","Qi","Apple iPhone 11 Pro","Nano SIM","","","","","","","","","","",""
"Apple - iPhone 11 Pro Max - 64 GB - Dorado (Telcel)","TELCEL","4G LTE","Sí","64 GB","Sí","Apple","12 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Face ID, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de humedad","5 Metros","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone 11 Pro Max","Dorado","Dorado","Apple - iPhone 11 Pro Max - 64 GB - Dorado (Telcel)","Apple","7506227335541","Sí","OLED","Lightning","Qi","Apple iPhone 11 Pro Max","Nano SIM","","","","","","","","","","",""
"Apple - iPhone 11 Pro Max - 256 GB - Verde Medianoche (Telcel)","TELCEL","4G LTE","Sí","256 GB","Sí","Apple","12 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Face ID, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de humedad","5 Metros","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone 11 Pro Max","Verde Medianoche","Verde","Apple - iPhone 11 Pro Max - 256 GB - Verde Medianoche (Telcel)","Apple","7506227335596","Sí","OLED","Lightning","Qi","Apple iPhone 11 Pro Max","Nano SIM","","","","","","","","","","",""
"Apple - iPhone 11 Pro - 64 GB - Plata (Telcel)","TELCEL","4G LTE","Sí","64 GB","Sí","Apple","12 megapixels","12 megapixels","Chip biónico A13 con motor neuronal de tercera generación","Acelerómetro, Barómetro, Face ID, Sensor de Luz Ambiental, Sensor de Proximidad, Sensor de humedad","4 Metros","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","iPhone 11 Pro","Plata","Plata","Apple - iPhone 11 Pro - 64 GB - Plata (Telcel)","Apple","7506227335411","Sí","OLED","Lightning","Qi","Apple iPhone 11 Pro","Nano SIM","","","","","","","","","","",""
"Samsung - Galaxy Note 10 Lite 1- 28 GB - Plata (Telcel)","TELCEL","2G, 3G, 4G, 4G LTE, GSM, LTE, WCDMA (UMTS)","Sí","128 GB","No","","32 megapixels","32 megapixels","Octa-Core","Acelerómetro, Barómetro, Brújula, Sensor de Gestos, Sensor de Proximidad, Sensor de huellas dactilares","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Samsung Galaxy Note 10 Lite","Plata","Plata","Samsung - Galaxy Note 10 Lite 1- 28 GB - Plata (Telcel)","Samsung","7506227336616","","Super AMOLED Plus","USB Type C","","Samsung Galaxy Note10","Nano SIM","6 GB","microSD","16.3 cm","7.6 cm","0.8 cm","0.199 kg","","","","",""
"Apple - iPhone 8 64 GB - Gris Espacial (AT&T)","AT&T","4G","Sí","64 GB","Sí","Apple","12 megapixels","7 megapixels","Chip A11 Bionic con arquitectura de 64 bits","Acelerómetro","0 feet","Sí","Sí. Frontal y trasera","Bluetooth","1 Año","1 Año","iPhone 8","Space Gray","Space Gray","Apple - iPhone 8 64 GB - Gris Espacial (AT&T)","Apple","190198450791","","Super Retina HD display","Inalámbrico","","Apple iPhone 8","Nano SIM","","Ninguna","0.15 cm","6.73 cm","0.15 cm","0.15 kg","No","No","iones de Litio","",""
"Apple - iPhone XS - 64 GB - Gris (AT&T)","AT&T","4G LTE","Sí","64 GB","Sí","Apple","7 megapixels","12 megapixels","A12 Chip bionico con motor neuronal de próxima generación","Acelerómetro, Sensor Giroscópico, Sensor de Luz Ambiental, Sensor de Proximidad","5 feet","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 Año","1 Año","Apple iPhone XS","Gris Espacial","Space Gray","Apple - iPhone XS - 64 GB - Gris (AT&T)","Apple","190198790910","","Super Retina HD display","Lightning","","Apple iPhone XS","Nano SIM","","","","","","","","","iones de Litio","",""
"Motorola - Moto One Hyper - Azul (AT&T)","AT&T","4G","Sí","128 GB","No","","32 megapixels","","","Acelerómetro, Magnetómetro","","Sí","Sí. Frontal y trasera","Bluetooth, Wifi","1 año","1 año","XT2017-1","Azul","Azul","Motorola - Moto One Hyper - Azul (AT&T)","Motorola","7501882627703","","","","","","","4 GB","","16.1 cm","7.6 cm","8.9 cm","","","","iones de Litio","36","SmartThings"
